id_number,Ox,Oy,Dx,Dy,departure_t,value_of_time,repetition_time,watches,viewed_announces,matched,passenger,vks,detour,benefit
40001,2356.005393532425,-22568.593428697088,4108.329288479563,21456.969116815984,6388.444257056699,0.09784364327765513,58.61616575377567,21,15,,,,,
40002,10578.849865285643,17117.446246279076,-16389.670929601576,8416.336605656434,2191.873161533734,0.12175535506329284,65.37331372906077,1,5,1,47777,5625.290285089835,837.3970099396265,16.194030942544195
40003,-8946.549596794228,4730.15627791587,-14338.420570883774,-9343.790859678447,3760.447295929162,0.05195029521601033,53.478426394823366,23,26,,,,,
40004,-15323.464233760764,15531.921324032068,16535.787403206174,-4359.296644779952,8069.62273337679,0.021631099330687426,67.18852176317509,1,6,1,45846,28210.132401172945,8165.131056106104,52.87526345727905
40005,-2067.472324272385,19242.07215914991,-24586.38634002399,-826.3637237254807,10844.2481665237,0.053426437868712255,59.131435671505336,13,18,1,45394,12007.529419251336,1341.0840065717293,26.522920138734598
40006,10463.440034923522,-20960.303492566156,-16531.107720756103,-9528.919775188,3525.299849512889,0.038925674245904,44.70128803914305,8,8,1,47961,9635.92472596308,2825.5094398783112,25.192151248762087
40007,-8312.104379155822,-22476.114804104254,-13262.228533305153,19260.982391452577,5462.445547959448,0.1089101467985288,65.42962864905762,1,2,1,46823,30255.982368261357,1428.138205295858,48.184120573557216
40008,-19617.506070231888,14784.655773360653,3217.30633086753,-16193.127502631982,5797.849556228865,0.030425766747165777,63.60697559092742,1,3,1,45189,31477.838221200025,4774.8596743110575,52.75269789551108
40009,-21780.05062311013,6359.937806985734,9094.32488493999,4029.6890143025776,8724.10493964287,0.10830050127707942,69.4392605141241,3,4,1,46536,4837.092867224648,554.9580104781489,14.588076316554195
40010,-19718.941608839872,13262.699050782707,3604.364196296523,-17948.173011033257,11767.352464584343,0.033797690582215184,60.9272542861044,20,5,,,,,
40011,-7278.170104669483,4770.210088301592,-14716.19857160278,8627.288434076974,7742.655777133991,0.07672784855355717,56.139362263760475,22,21,,,,,
40012,6286.398731484067,3263.859014727783,-3833.0805152858084,4841.683432387494,11692.831740316748,0.03875795531054283,88.95908273512924,14,2,,,,,
40013,24003.827306419596,-6557.494418313909,-5441.655851822015,14725.342141256937,1989.003883530181,0.09241728658444294,56.708462030942805,8,6,1,45151,14995.187713958316,572.1505616637169,29.85100741343305
40014,4516.103322169383,-1247.2782599854108,-17182.22894041022,-13578.079809163579,11731.022151242478,0.06635906997945336,58.84251208028027,21,7,,,,,
40015,7974.400628472606,-20966.31680432426,-5042.939743810421,22943.72699435034,4838.4377303844385,0.06105735112683017,62.46606090461087,1,2,1,47195,26945.006599478875,2694.484200588864,46.13949080006774
40016,-5273.909680722307,21103.377592330653,-6270.573008332565,-1709.452120862552,10847.95722593669,0.15527102018622974,68.39459807323242,18,19,,,,,
40017,-20186.440621740374,12376.047393070061,7634.8745664674025,-1269.493143714255,7576.299333178668,0.06850914140516913,52.31579650251515,6,7,1,47594,16883.376811078917,2953.812077678558,36.25578333313621
40018,9140.608085907334,-11067.4671853627,-18485.179806258428,-2216.62226777483,1658.4929832620503,0.05350409178159629,59.54428053283582,1,4,1,45264,22400.094304040416,4673.983624456232,43.57407792849665
40019,-6948.322562813908,-20732.595046162405,-8841.323718025906,-7430.491338288892,10809.457566263809,0.04081585390729106,68.42006056438976,18,25,,,,,
40020,-17472.33190703157,-10019.679343499898,11614.721781135762,6251.8921130276285,8200.090153830817,0.12392053393734372,62.880601111949325,5,8,1,47740,15567.662526333283,366.2882491860546,30.400926163279006
40021,4920.8994806257,15969.576730700588,-16294.791603644615,13681.13327493381,2129.726583693773,0.20072088461874898,54.978164212041044,22,25,,,,,
40022,8903.943280072577,-5342.1071668771365,-22595.42817668045,-6152.499751434061,4539.114208281798,0.03229239262682438,48.881168005505955,1,3,1,46889,22837.06815850705,3882.243366535142,43.21931152504219
40023,-12054.727038074425,-3526.3828392926116,-7725.269188854778,-6280.443404349127,10155.740035742805,0.03290040022311742,69.6072221705879,18,20,,,,,
40024,-9011.465302284183,-20443.580308775054,22605.42583417718,2419.932573467566,2175.7513396974923,0.21968613149640004,61.37161413907489,14,13,1,46940,26053.264981184973,1291.693617856301,43.84495859904128
40025,-12196.392162631526,16298.809184763406,3263.472583062783,-24024.829812631637,8735.804105021974,0.14384198647486657,49.31873009874349,22,14,1,45813,21842.479626405086,159.62105259087548,38.50210067899596
40026,-15938.501381542947,-17986.905845905938,3910.585844271027,6824.247571756525,11063.050488445035,0.10414811819753395,38.290230210444285,32,12,,,,,
40027,18079.625645996828,-662.8135957940758,4731.226318791483,-4239.152030480142,5679.163420186655,0.035629870227477975,59.99705679765789,21,27,,,,,
40028,-5355.025224200144,-18740.805392088667,16677.785316693626,-6916.945005016223,9120.973878035373,0.11226102799585937,82.43754714120628,15,11,,,,,
40029,18724.118216720468,3644.956006841039,4309.820922422834,2402.860352772306,9132.450469502583,0.057629805950000605,64.18557737289669,19,25,,,,,
40030,-11943.398578234848,-5292.547683763361,-4076.2572787290337,7979.461195958451,2497.3224961314527,0.0814530806596145,55.201223104355634,22,17,,,,,
40031,23322.265472615036,7080.48806876317,17632.488715360836,-12008.0848391801,4249.149094682555,0.07563705822000201,64.08733629338442,19,15,,,,,
40032,6005.874492667452,8280.48939968559,-10755.550268300834,19236.505038740295,6836.443153802253,0.11094462590679996,40.97627758217077,29,20,1,47255,14229.445587926206,951.8430996972165,29.271933031435132
40033,-10072.95244935772,-11554.568223257866,17977.742064067264,-6323.749989309541,3998.544084684685,0.0787003636535329,75.75496402409009,16,25,,,,,
40034,17355.46342145966,13418.991140902857,-21743.60991196218,7530.675551472039,1457.053005722453,0.05244225612971494,58.367881007019925,1,2,1,47903,20379.49191718393,4653.241968019254,41.532733885203186
40035,-1185.4190077074818,11627.274676447982,-13217.333449431035,2558.7194829269247,5133.763242879728,0.06198049509209429,59.56481467096071,21,24,,,,,
40036,-7813.582034350784,-3013.741496619743,10374.765880240411,-20703.146830092002,9407.893392243439,0.01554805786128702,55.28305310865104,22,25,,,,,
40037,11432.369981024298,19069.45203127515,-11076.675069313651,-1627.838461745585,6403.665938570348,0.05427584752780183,60.52484093748294,19,18,1,47032,14027.08257075756,1300.3766644739753,29.491188852847305
40038,-18929.856762739244,11055.177974964572,5119.635933884198,-7046.25522036172,9909.593054686244,0.03566421959903912,51.13970299669462,24,17,,,,,
40039,-22641.6151487846,-7312.780820004187,1591.304226862063,-21912.670166560754,6808.5113493371355,0.1418568487256481,57.95697515279562,12,8,1,47328,20100.237628678573,1499.761125619807,38.09999875429838
40040,-3526.1229043004532,-23341.2021349304,7563.670477471856,12498.980976879247,11797.661868410078,0.16168854466298857,74.40697097273656,17,2,,,,,
40041,14782.194994500125,-9203.796990316216,19857.773969311413,7590.829229104205,5018.9287929365255,0.05310976330139076,54.63302408521886,22,31,,,,,
40042,3376.423413681361,-1419.9824420820514,16671.981835883555,5407.542169204466,5801.429677671095,0.1332568129004628,57.291732210732434,21,15,,,,,
40043,20245.543915535636,6876.313934276452,-4344.506735795556,-19105.211310373026,6673.31872535832,0.0561627194653957,60.20570091433643,20,26,,,,,
40044,-6270.320843718986,-16088.441026323508,-2917.0391030103383,426.5171354283775,9337.873400065677,0.04423533094111042,57.053598579831174,22,23,,,,,
40045,6611.550794234212,-12909.544192023797,-21581.401884516323,754.344298384236,3692.3229497743846,0.04824824094325706,52.506349755394965,16,26,1,45961,16432.148642714717,1607.7516084101371,33.55985037668728
40046,3121.790290673114,19096.37791386294,-22296.131571518607,-4001.0128880200064,5494.534825213794,0.06373070670185588,56.75127695401852,3,4,1,47863,23656.717508200825,2801.5849435440905,42.95830245174491
40047,-3636.6920947500766,13454.773482492521,-20274.944679835182,10342.082338863052,5471.785852473392,0.069330695279218,52.645472324373074,23,24,,,,,
40048,-5385.694735857654,-10652.348236099946,10499.208785302675,3716.2513551640623,3908.8318572986286,0.08405423300634786,81.68778353923139,15,26,,,,,
40049,13736.436926164322,7588.614108486174,-64.76282379548866,22003.73487760716,7059.387640274173,0.07795479968525973,56.659910188392146,22,26,,,,,
40050,17552.94283050886,-6292.7316809004915,-6244.907397148429,-16587.54565643388,10866.298022108886,0.2589219778435658,52.00545863355037,24,25,,,,,
40051,-9135.996170989896,-22989.841752755798,-8100.067682494271,22049.25205842602,11148.227446100962,0.25885937741541964,48.30214936508509,25,6,,,,,
40052,-22668.872486979748,-7836.913826403132,13228.103849182553,11917.791594571303,2722.279209559195,0.036527467481142405,71.8899831778702,1,2,1,46872,26565.957683218796,7342.489669177405,50.4084473523962
40053,14619.069809485576,5688.032404098642,-2156.053823180937,22390.45212649354,9003.509185417013,0.054668256232674003,64.0773641721753,19,15,,,,,
40054,-10443.444713609035,-4656.0295715145185,-1135.142135190261,15058.671580674469,2296.7703894959095,0.06154781919017078,68.60896813787362,18,24,,,,,
40055,3360.490227660601,1153.4572874981823,9780.87716903216,10902.738640442025,8650.938915333985,0.13950663369097238,52.730260889497224,23,25,,,,,
40056,-3764.298410184223,-9846.927345314154,-8603.149233985863,7074.316089768206,3331.5207840112985,0.08422589344319181,74.05684003302864,17,30,,,,,
40057,-14401.443285821108,20198.624645612595,-8842.209753084851,12183.279627131727,8939.053030967105,0.06420889698163296,57.47710273468186,21,7,,,,,
40058,19625.744630001034,15433.575820275444,7272.4128970937345,-22410.788357543694,4957.515146053766,0.061061265750888265,46.98208589537926,5,9,1,45369,27468.69087372462,3003.975144901804,46.97266601862643
40059,18196.393211078874,-3761.1651876338474,7473.730418092535,15804.710504323215,7655.704410583154,0.06291664689090595,65.10235472513307,19,20,,,,,
40060,1401.5358479440183,8919.493402145301,15649.886998749163,3780.5888028908557,1328.273377492742,0.045453930714382106,46.081699849395996,5,7,1,47136,7720.444838815954,3092.5600049847453,22.71950726570105
40061,8933.864802987402,19388.302924592368,-16802.94137082323,3365.768599043229,9521.464910155919,0.03201476623874946,70.15270752924924,18,17,,,,,
40062,-23026.08331748385,5103.8029664747955,-15320.115737445345,16356.257526580921,11333.80578921875,0.06814281137971805,90.12502623637319,14,8,,,,,
40063,-7821.600760859677,19579.563211397108,-14547.409936242368,9682.466423907506,8260.231818429513,0.09474783900924186,51.731192362060966,24,16,,,,,
40064,-7974.678527921762,19417.317661685993,333.1999265910599,-4688.24162426827,11993.77768018053,0.04572371333887178,65.48634771338696,19,1,,,,,
40065,823.1866862829447,-16033.798388642417,17148.904266478174,6711.781302292358,2114.7584072086715,0.10636258997442946,62.418141591448794,20,26,,,,,
40066,6332.993131195864,22608.086107116353,-13095.12110242022,-7762.667278294877,9444.465928670428,0.07688573684411813,51.01946619294447,1,3,1,47835,9546.711342194143,437.6632469305423,21.47656188368703
40067,174.3924876021374,13973.310163566035,-3224.159210768612,-3925.7837541677072,6942.47399642934,0.044354321957373904,69.30024388843893,18,22,,,,,
40068,-18940.008721022496,8794.653481919726,-9288.054959554609,-2305.3934413832576,9981.771969529424,0.16672708839391862,49.06272852291127,25,20,,,,,
40069,1573.9825323815749,15336.707503949954,-14033.981652410366,-15027.220694581334,7036.07631409828,0.0403212083135826,49.972871935208865,13,8,1,46680,26267.90214673618,5607.9061276554785,48.37580827439166
40070,-12979.902740931975,12160.919603358874,-20934.481313764725,2539.556286262079,8197.3375116348,0.06103050687911683,44.82796619813828,27,18,,,,,
40071,15092.664740780288,-93.40316114545931,-7155.649519279505,17673.136000737468,2505.6174734469105,0.05047816861829452,76.39750152332765,16,28,,,,,
40072,17629.041482123343,319.6422252710727,10484.120458935438,13917.673923503076,1279.8218625441518,0.09315405835267794,54.09711776235543,23,28,,,,,
40073,-7672.124399093405,-18458.79410710432,-14676.973722905306,904.4919042279544,3973.5697577967367,0.1711889801775131,55.50850460643909,22,24,,,,,
40074,2528.333947328243,-3863.8916064099685,23279.880612833476,-5706.162752671946,4023.5746312568294,0.04339914742211067,56.368293540644245,22,29,,,,,
40075,19300.206663701676,4603.606498407829,-2641.6381361630447,-19483.88171236846,8247.882655326277,0.12346048654232376,68.39872614166796,18,22,,,,,
40076,19439.40690733571,-3895.2728326426877,-17574.09224385665,3789.012735611119,7411.093076134972,0.05785765818455059,45.65164463345161,27,25,,,,,
40077,9904.414420967201,16014.003471439217,-13422.476974534136,11166.771822068644,7421.721450029219,0.06325406924215346,71.72898958832624,17,16,,,,,
40078,19333.85595481185,-6617.301979343381,-8220.012948849042,-8493.184448606866,11336.59185765891,0.32251340651959276,66.23909694984643,19,9,,,,,
40079,4305.175091258658,18876.44966421843,14371.819838544267,-8203.902633737609,2466.358941868765,0.07651140255952438,77.21440689456432,7,8,1,46616,18083.656853815446,3027.1870260396463,37.610843879855096
40080,-21607.89839551176,5704.303468621059,14404.355184768217,-6081.759829636707,3431.3601327625165,0.09610447741147164,63.50934086479745,2,5,1,46118,17548.8563204911,1884.2011546721806,35.64958621274492
40081,-10934.425123322155,4866.453925626891,-13404.262035695385,19419.54247278846,4060.345811967029,0.14000060401780673,68.20974307829685,18,24,,,,,
40082,3111.061559486796,186.46959554011846,11249.01071842826,-4162.291461958666,10419.882740087614,0.07825557306048823,49.94159562941869,25,26,,,,,
40083,-980.3976062231595,-13776.513783374083,6884.20449142448,-6450.596206532329,1201.1858046384136,0.15543831644694223,47.73827150546038,26,29,,,,,
40084,10865.118958605708,-5233.220086754813,-19159.92482505727,-7090.374001794426,7349.3087404774,0.16597776846800186,49.933520069257455,25,22,,,,,
40085,15529.897439222841,-11826.331614794582,19891.42262294713,-7667.792979221922,9038.712960235527,0.07382846430815145,53.29945712241897,23,21,,,,,
40086,2569.8696778208723,10469.86376241166,16774.524265098553,7837.34355764206,10916.910460404266,0.09402880749219322,73.40111859849671,17,22,,,,,
40087,-18547.49966705873,-3597.6322254384395,20893.473319464014,9787.738388281694,10023.113417008879,0.0830986005744069,53.81113776262167,3,4,1,47921,38569.498783386676,3198.9053481880837,58.26840413157476
40088,-10972.766835777558,7770.657189775971,775.2802097677413,-23921.750480654573,1661.9572749936883,0.01599573164857561,59.65301611122595,1,2,1,47552,3626.4311201837663,6766.343113575911,22.089161350639515
40089,18589.976927365846,9103.562734879131,-3313.3612663042586,-20402.092151174777,3522.4675645258,0.03893581234399655,58.68114929467503,21,16,,,,,
40090,7826.646945742832,11620.096561529732,19697.587206520373,-14222.997733838267,10645.728939625158,0.12446621232130727,64.66574935585652,4,2,1,46830,2554.2149285721644,102.52499574987542,11
40091,-12278.774797113889,-16964.46194726191,6280.910959744961,3997.0541429483965,9080.183936487643,0.0801328746038988,61.62611531324343,20,18,,,,,
40092,16086.298792302048,7293.478649533063,-8054.879863783528,9650.182932073178,3701.3461366138768,0.03550822185974953,50.96825318760844,24,25,,,,,
40093,-11406.91196272129,12321.180571497134,-4276.821444714838,-9302.245146314664,8526.31682908896,0.21024659595964615,61.060097614380304,20,15,,,,,
40094,6447.066145827925,-18935.584691864948,-6827.735455804679,1694.1997721639855,6311.7533644540335,0.052244009125392905,67.17463127132541,18,22,,,,,
40095,-860.9912769256807,23962.604992055363,6300.61517146484,-4854.286841159461,1885.7105866005384,0.10397242161892764,64.06752191937132,19,9,,,,,
40096,-14315.415933046948,5627.807699455632,10948.593043386005,11692.060275131065,11701.128300902334,0.03422233091141961,49.58319761671733,6,12,1,47564,6900.2352429540115,2090.902931716988,19.986707262006497
40097,-6012.85743187767,2669.285142019002,19752.922469269994,7477.928056133653,1598.5483851362783,0.06087164133062432,67.5969272131913,2,6,1,46469,11883.54493159481,1915.3710060443282,27.19837390645871
40098,-3501.4960382850295,2020.0863952136824,-4559.903874639236,-17030.402186920117,10012.524524659457,0.018137085723417483,55.9137877409567,22,28,,,,,
40099,-1913.8783428447423,5970.140978513355,-8875.442635885067,-948.8790610362994,9784.372779247708,0.09050993339268856,77.90467806941506,16,21,,,,,
40100,2314.7834196431395,7666.4002355876,2981.208109854073,134.40173811486602,8698.593779322313,0.10820315991756377,71.86952250768547,17,31,,,,,
40101,23905.87117721238,-2560.4558252826937,-19529.355784524407,-7945.108811850969,5540.08033376792,0.11786922639390691,57.51284454024086,14,8,1,47143,18620.149809474744,199.84128523612162,34.729986642066294
40102,6497.058807678695,3402.8227515386643,3433.7094772860946,3010.088605348159,6657.1713617748455,0.07624728527755027,57.42732639675859,21,21,,,,,
40103,3349.0440835650224,-9617.662482660127,13472.97903388334,-376.45319682179615,7765.235848726458,0.1523629471686721,58.17630872289875,21,23,,,,,
40104,-6980.707823334193,-11477.629828952884,17276.24119479247,10725.489955355282,10635.270557522761,0.06251088403737468,82.4200301425886,15,27,,,,,
40105,-13096.60953256141,-2623.6903199737862,-4575.946215550426,-24551.684191146607,9724.572759293142,0.043667533196859114,46.49319378088884,1,3,1,47965,8065.531193567464,782.3577425241692,19.771833404137446
40106,10.809178608800721,-15916.025401889972,-5964.523757572042,-13138.754573759481,11890.316496317511,0.05024335391347782,67.59503164372255,18,4,,,,,
40107,17707.050757473015,6899.9705569098915,2886.7163649986032,17711.363919143645,9098.78677841226,0.07210538900634465,65.92959342608533,19,28,1,45939,6278.754846105747,1295.718582506439,17.861710142918277
