id_number,Ox,Oy,Dx,Dy,last_departure_time,matched,driver,waiting
74001,-13799.492790469003,10251.993605142015,-2819.741923212143,-20337.90538959307,9134.394873586403,1,73666,51.81363834072363
74002,-45.74495082471549,10131.572522495582,-10568.07813973758,10223.622488267356,3145.392951653964,1,73300,184.9036724092789
74003,-2593.983319228293,373.3434082657295,-3953.4677242622893,-2203.01372114665,5845.04139958003,1,69812,2.440496972791152
74004,7089.606046418761,7421.793425524222,-22403.385326266074,-3438.216520045702,2598.954530516175,,,
74005,16047.946500356666,15214.462131386805,13885.063734514726,-19577.480851424916,4600.146493949249,,,
74006,1302.5582159759033,-11300.255647689923,-10297.794160581265,-8459.778217145114,1936.3463325230218,,,
74007,9445.931863050595,3193.4137342709655,-2736.16052213866,15280.319230745212,1424.2549640818174,,,
74008,5179.0981184838565,-8835.410791110782,-284.55442826230865,8014.051951155736,1920.9474544731959,1,72714,510.3680210429268
74009,17898.967394233732,-16140.53022954835,-18214.261691818556,-13073.929915118242,4986.054594932615,,,
74010,-635.7975004426517,-18792.426150132967,13555.543001387501,-1158.813396577134,3801.099389619419,1,72988,59.891749722326495
74011,10100.173286753525,-15244.014934676314,11422.695519470508,7007.916743648613,10658.747546092705,1,72941,3.831770051358035
74012,-11652.812084492081,11861.58585901057,6637.568567247541,18029.59807776948,5327.028456227574,1,72198,10.2775281025597
74013,19263.7151964601,5526.0298925464485,1220.9342278910008,-16459.907257559382,1402.9457918993087,,,
74014,-15331.759481832125,13413.093971575923,47.10730108232019,-3199.639828924057,6430.804193344335,,,
74015,-4430.081567425637,-22991.992796724393,2564.7422847924317,-10100.107960642728,4409.022955168118,,,
74016,-9426.064617496539,3832.888438730286,-12092.547526488268,-19458.89920395417,1961.359618194605,,,
74017,407.88349176919655,17633.90204426644,-6619.012673787667,-448.6085821387969,6217.0333705973235,1,71623,21.255949241288363
74018,-16718.935261917082,8829.876011340173,24485.02988871115,-2982.751630422248,9292.211576051279,,,
74019,-12275.873422931178,1248.8793041028111,-7934.670863862546,-11311.115442540038,3794.8675905955556,1,69212,13.969335034821597
74020,-6187.337365034629,-17146.03167652907,18751.45184511831,-11512.425052260976,8178.085541369129,,,
74021,-13587.1551655657,-20198.104016071473,-20559.14725703502,-10034.88950167185,3587.7695900202802,,,
74022,-5985.049378030344,-21748.173153969143,1889.3826339038424,-8327.551895264336,6464.550706911441,1,72009,54.56179955731568
74023,14805.390948836517,2383.899178490319,6378.1189150639475,-15961.682294843338,6388.244011443006,1,73407,708.0804020187434
74024,19530.689726208962,13225.703232434484,8974.017318961305,-21046.43029198684,9222.474190574407,,,
74025,7354.451698601832,-21024.09790104702,6281.809184724712,14364.392376060212,9734.809323272522,,,
74026,-1739.3511016186349,1426.2666809945076,18804.577167050906,-4079.2738065428384,6198.09027379953,,,
74027,-14118.175254824871,-5255.604945864008,17546.045243537155,13713.108342301071,2315.540476479259,,,
74028,2310.7868497334057,19276.325649249557,7400.975350064327,3903.909133362289,11314.428902231897,1,69108,21.98509093964458
74029,18665.019980439043,6873.422656958293,15445.82017302428,-4198.49736893284,2134.865494882016,,,
74030,-7008.419949887106,18587.909273420977,-6960.798655581217,-13555.70116988496,6601.539038869139,1,73034,45.69542161327354
74031,14699.76587579069,13087.625276329985,-16794.08360557127,14297.204727531112,4724.094743336693,,,
74032,14112.305279875516,-8192.540812914762,-15470.776963530181,-18668.142130116434,3466.198415939606,1,71547,41.885438646448165
74033,3113.2563223465586,23665.83231694658,-13442.988427786246,-12710.531786071177,9517.182418866494,,,
74034,10643.084447169545,-2897.1383002681323,2906.4203329733973,-11494.34172004966,9530.488745945342,1,71302,24.830292196895243
74035,-9997.74606573755,-9896.015214828763,-6166.57497322675,-11228.964610933339,8305.995657749372,1,73867,14.196914603101504
74036,-7065.817527588479,1878.2321256179675,-3047.6747607981415,-20393.083658676835,7045.809799063066,,,
74037,-7275.548080090284,13162.65370417988,-8297.612320334956,15409.564944504746,2002.324623886393,,,
74038,8440.216579064552,-11198.252737891846,20409.989378497463,10379.496197967397,5480.898591651371,,,
74039,9596.033409801363,19192.524399354887,-16974.176408302366,-13308.457366939469,4681.201511401188,,,
74040,-11663.214746627777,19668.423377358056,1499.9740861526043,-17.54686730575486,2039.4919800324838,1,71332,72.14812597913772
74041,-11344.771988795716,1936.48270122529,6297.66147013101,-7992.89401725003,2513.522394824822,1,73144,491.1145577485754
74042,-6497.000214366712,-3074.177076068012,-12045.967362597105,-3256.6805896588485,5831.436680662202,,,
74043,14535.905322808147,17711.32833339036,-10441.725433834015,-18405.99838321199,4847.890176693577,,,
74044,19669.12514753673,7852.073500893981,-10608.0949323765,-9146.74563080875,11998.693422562346,,,
74045,-9094.21229783694,8371.398958309881,21383.21323636228,-8327.440093678557,9584.05742976386,,,
74046,7783.40361157446,-6675.906256952952,-21942.32783322473,5537.530461811533,8015.323216580742,,,
74047,-11963.189795009954,-6280.346632505152,-16148.393392541377,15625.643354338696,10114.135081704802,,,
74048,14175.147913059147,-2462.1272370763218,13601.030841587788,-13334.929934746615,7553.297876265742,1,69123,25.467233946662418
74049,9395.17002783306,-11771.051218287575,-1623.3016678741224,16268.394117253847,1990.0065375594959,1,71663,31.92247155926077
74050,-8792.6767547239,-20299.358699680204,13868.354943031467,1864.8387092617195,2012.8320385903894,1,73820,20.936559386577642
74051,2695.6875251099373,14835.423465415486,-21435.905808408857,3933.551806596479,10987.49276891239,1,73176,2.3889280801722634
74052,1348.8240422181443,20891.467038271192,6197.505745430888,-16108.5344342358,6949.3715181225825,1,73083,136.6186231072661
74053,11607.35414402502,5050.5451908771465,4609.437820496205,-16216.091905055813,11179.710852957272,1,70742,58.36046342834561
74054,-14471.338055412463,-20280.251624955963,17455.26765558847,-17068.94345409333,9637.321806346292,,,
74055,-18614.036139207834,12460.908829213724,-1219.208638795928,23062.316651771245,3839.489635768107,,,
74056,-10322.815925114637,-7524.838809132267,6839.311374528672,-23752.309862390408,9225.388739366459,,,
74057,-8303.448390359976,19153.90981473413,-150.63579006484724,3018.1339322337008,1948.6737529995016,1,69237,470.38245409750164
74058,926.9601945809154,-20502.929253350227,15115.325615373826,10254.746534800637,11688.923907072753,1,70443,9.47174460592396
74059,9880.785427932868,7274.466256574826,6762.517274830581,-23083.251098958786,5272.243479100994,,,
74060,-2618.7323462231398,20387.70800003264,18274.334265903846,-5324.38068653096,5915.18394099579,,,
74061,-19429.391086032305,3549.7275684483357,10763.855470130984,5835.699676811164,3036.890526902027,1,71574,387.543458187517
74062,-7182.376078354842,-3122.33632074852,16652.89814417967,1915.7506512833097,2065.6524484738807,1,70322,5.422045398021282
74063,21122.562138663816,-81.57426552787729,8286.961928012752,15150.849399222105,6811.4290695540985,1,73516,2.661258178418393
74064,3572.4744548148847,-14085.245368086342,15380.378622622768,-8064.508690327766,6172.3342896183885,,,
74065,15414.236034335547,-1841.5835245701346,-12384.084717074933,-20412.20995998064,6794.980914002953,,,
74066,-3258.5621810138146,-4932.333326959055,13596.187812861725,-4595.408090940506,2915.576403671354,1,72801,9.41799313529009
74067,12936.489259725662,19665.755611417255,-1299.5140009926072,6466.985177191447,3736.0453975729984,,,
74068,12368.706068546024,-5034.591507029752,-13709.718906581369,831.9782076802112,1967.1853621698485,,,
74069,2704.203684929944,1623.2624350079896,7874.638208464254,-2511.0022206130525,3585.8724142092246,1,72125,25.57428299782714
74070,4095.7259433083636,9399.925318510388,9540.62268251022,18889.497670756857,4797.386563200382,1,70441,52.53980119101334
74071,-4532.430751438766,-7143.918653791647,5055.433945640652,-20076.363030423265,5315.605883906578,,,
74072,13748.479012583157,11693.39349219625,-7027.6990774360675,-19919.300769522873,3390.827228286326,,,
74073,-12728.064912178721,-19091.801159740047,-4893.388234059188,1133.0718804083917,4964.178428500221,1,69339,23.47473042459569
74074,-3820.700115091913,24318.51397117421,-3325.9444186914225,22304.18689512091,3427.84621931162,,,
74075,19007.679050436185,86.97669548645717,-23779.33180156142,5767.493384172496,4335.801373774149,,,
74076,-5718.252775376997,12786.111902047123,-19450.21065810672,840.9752105690168,6747.28325500556,,,
74077,-5283.989825601417,534.5195184162367,1855.1491248924467,20433.924416174967,11234.667431464444,,,
74078,-5099.667837035409,-21582.61050762032,-10516.934733189277,-2766.3981457218833,8957.559505128806,,,
74079,-6223.515418299503,12843.275923658839,-904.8607262164442,-2964.9968512430787,10158.688743655877,1,73818,10.9026199804739
74080,-18595.664569475706,-12967.641895847177,-16508.89099109421,1765.562830826595,2427.1384381109688,1,72074,12.844119136934069
74081,-18439.810905832244,13581.24126909273,9107.469068936334,-20806.846916267117,10362.706951504395,,,
