id_number,Ox,Oy,Dx,Dy,last_departure_time,matched,driver,waiting
97001,-9729.55623306283,19483.017958415847,-19814.03999600073,-12190.014353769046,3620.865314366357,,,
97002,-10419.72564167833,-11649.885091204515,15774.805324798908,-15310.826668603411,10093.672921227108,,,
97003,-5130.589525260188,-2012.2438407536683,-11692.003448529798,-14670.128018039546,6351.644769844052,1,96088,49.1820153521503
97004,16400.60250116815,-3936.2638784617047,-796.8251036321599,22790.355481648214,4763.748439636444,1,93384,17.901097251667125
97005,-10639.793588351604,-19678.95382208184,-11256.35408327536,-21460.823117877524,4955.8235598988795,,,
97006,21200.883902354522,-783.0754326135393,-5079.143238404755,-15504.558097011744,10100.907013749375,1,93909,298.89345802893877
97007,-175.398126997894,9773.59541703081,19414.229401239325,-7389.67863163897,6075.137399528646,,,
97008,24168.837180881645,131.47031166161833,-738.8165502323754,-1941.5199012777048,4811.1399965234,,,
97009,12545.134031743997,-6913.922662976933,-21736.862851063237,-2615.495069057517,9788.644100490497,,,
97010,-13431.102523971944,-11171.006506490145,-20464.31678890518,1449.6231506389886,3187.215570264634,,,
97011,-5414.776753724116,18190.962440923257,-17938.463412795907,15669.465900724848,3170.4051481228944,,,
97012,-20468.956558730755,-8177.507220922391,-8504.986671055649,4451.805188740327,5506.170821460419,,,
97013,8533.618446218301,10913.190818615607,-9435.189655059074,-945.4579268124544,8147.954012148874,1,94172,29.952377444816193
97014,9390.813106938745,-17779.86424851677,-10297.822168114884,11232.418611679066,8486.898615665752,,,
97015,936.0970563168921,-6128.274552282208,-4868.575926569734,-15479.432488277738,10040.132025838257,,,
97016,12463.192117089857,20840.69463181874,8591.668783909794,3623.0957946846283,7992.230000293984,,,
97017,175.98297150215876,-4062.9814181531983,8551.031797646647,-14338.087577002207,9286.579167346918,,,
97018,20074.233621989086,-10321.15190189634,-9459.238509121764,-20148.63251493851,3492.4542826869374,1,96630,285.4750632653504
97019,9307.997386624447,-10348.157828867188,-15879.277772617017,-4081.5552391027522,9382.942187319672,,,
97020,12118.000118994125,-20429.979276246457,-1034.551296016638,-17304.835308112688,5459.6318758364605,,,
97021,-9941.726503805698,-16530.185872815993,8372.234232357478,-7866.729680708053,1853.2332082719934,1,93961,98.13176003206661
97022,15915.546019208043,16476.06170052472,-23160.187900734196,-6726.327430740348,5433.377452438102,,,
97023,16527.663467491177,13203.837859739753,13575.982298711388,-7843.473370212305,5653.492465859399,,,
97024,8978.59502866005,-19.10968239165959,-3059.538989223831,-11367.54840521071,3792.713096311806,1,94467,32.93396418014163
97025,-14525.264701196045,-9804.488706211267,12667.965293615955,10100.646743584708,8852.954231072355,1,95532,274.20832300628626
97026,18243.555402196398,-14068.660921593351,-6187.5258959756975,11734.982010695108,2368.6577123835496,,,
97027,15426.754694335483,6706.035052193776,-6208.31279826468,18621.70245975539,9673.305836422314,1,95421,34.0628665740478
97028,-23476.56728979612,-3378.9305119174096,19038.71101717319,9549.23361494764,10417.895891745537,,,
97029,-19088.80512257189,-14833.61255973485,21651.294521212963,-8797.328043701653,4873.356280944543,,,
97030,-13235.06471536598,-11816.215022272381,11754.44300405591,-218.300510806901,11320.227034683368,1,96018,39.81303577786457
97031,2354.732009627085,-248.10892225413045,19581.458082863042,-7753.947227206183,2270.401903144937,,,
97032,-9922.828284008905,14206.393286710008,-6763.888720356441,22913.319481428298,10113.33407883612,,,
97033,17307.830336072584,17281.954650076877,17401.820205732925,8670.908772582952,1851.7234448942859,1,93085,14.191743412919891
97034,8293.383910651828,12726.133726895845,-11225.011728420337,17574.130192886165,5509.953091556836,1,95109,565.4784222639573
97035,-10948.862447604419,-16174.944112406536,-21850.56363302475,8833.928466764432,6599.800371201237,,,
97036,-673.232225598902,3476.0009848351583,18603.285999887878,-1976.8759275494049,7230.961091150177,1,96940,21.37948997602234
97037,12463.500799287453,10707.62716802318,-9424.963823024164,8011.284754095257,8160.518791628324,1,94231,141.3264662564343
97038,20229.787401891874,-13918.33172034377,-2473.994437788402,24832.645497782432,11033.104879247376,,,
97039,-14568.375219702384,5757.510565550372,2574.5829403280586,-21582.250288105908,8488.224745134397,,,
97040,5248.230943082817,-6415.03971595594,40.33501871890621,10257.786981987389,10825.865858491314,1,95359,12.366780509579257
97041,-15982.70345864477,1649.1849677019782,-5462.766016899455,-19457.607596228925,8007.980521588275,,,
97042,-7034.036147647359,-3249.3433647769416,14234.375250622237,6865.033308863138,11235.273104289698,,,
97043,-4400.115820010364,-15357.47247146474,-6557.887208241369,18340.469363354117,6294.524772266778,1,96639,249.7330001508817
97044,18297.93836879288,-10453.987750634607,22881.931784888686,-4896.987723327362,7261.010754141026,1,93049,251.68470615748356
97045,-8259.415751184668,14353.956271600939,-15067.103883679161,10773.391317483693,3711.0046326256297,,,
97046,-11256.51379733399,-7587.827726111791,-2150.826318750176,-16432.03343016303,8294.020373013656,,,
97047,21211.918386659512,13077.588183808788,-17202.35422226424,-13249.155636746867,6803.264742134127,,,
97048,-20181.905592070238,9046.222887155614,10598.541235836907,17260.211456382072,6435.214484355793,,,
97049,-6142.351396209255,-6508.906811765875,-12236.666200452557,19897.78740076314,2575.7151815416646,,,
97050,-15464.871303112066,-2684.1505274709343,18982.596156047308,9188.690844687982,3864.24077862445,1,96471,96.68443618290212
97051,-22307.98202757662,-7656.95923751486,7042.643022216867,-8773.832483655326,4711.07505048664,1,95061,10.605854506626656
97052,17701.909451009844,-17593.111411053596,-12722.016523863022,3178.578660369658,4259.915483440339,,,
97053,13350.132394861947,19923.8239028956,17614.375965161475,-9376.316751572444,1279.88409871854,,,
97054,296.62747371123623,-15913.060932118522,14595.896803055097,13176.129952663934,10483.636326301805,,,
97055,-10234.465773936257,9959.907470572274,4720.60896166059,23844.797639450087,9149.95569419803,,,
97056,5260.15747115442,22598.221348763407,-18562.326144599556,-11351.888730138233,7109.7857811603735,,,
97057,-8120.699836210639,10796.407455637498,6775.855728868963,-10408.776306848455,2396.6141512493077,,,
97058,-13028.094238225374,14775.327117716064,-9494.984304634423,22635.69160874922,3414.0779443751608,,,
97059,13737.87121743161,-1251.9102229618984,11618.573253990944,-3865.043069503994,7494.926997287868,1,96781,30.434290742667145
97060,16428.084327053264,-6528.149327410072,-5946.078280399168,-23008.18407697665,7390.456439988858,,,
97061,7614.767809528523,20179.08462601751,19135.37254343748,8301.762372500925,7246.471215204331,1,93869,16.01849521728127
97062,-11879.772933004928,-21405.423673843343,-17540.194061482252,513.0005403473733,6703.5007305620875,,,
97063,10757.591657629659,1613.013176288092,-18945.65883833928,-10303.048531473658,2557.0825495493905,,,
