id_number,Ox,Oy,Dx,Dy,departure_t,value_of_time,repetition_time,watches,viewed_announces,matched,passenger,vks,detour,benefit
4001,564.7529864569187,-20557.59709553488,12854.717403171198,6972.170663501016,4137.234769052888,0.061513078818130174,45.84396929702787,27,21,,,,,
4002,14647.90545507591,-13933.940789218219,14019.175943299095,4216.636889148489,6373.420939366009,0.029109256957398168,42.60618946336333,29,15,,,,,
4003,14066.5335863066,-19287.57856372288,-20558.22234238497,-9849.144284110605,8824.144226909657,0.056586775790897804,51.90895131263466,1,2,1,7606,18656.003665538243,2938.812228313189,38.09481589385143
4004,5171.481863555138,-24340.304122992296,17257.298886625416,-11828.744446948442,4396.8584528278625,0.0401214018522254,47.46174335842287,26,10,,,,,
4005,-15216.42238758953,-18010.94790867806,-8317.608666980173,18594.932292310754,7625.384031009917,0.09058320252611425,61.94014505474293,11,7,1,7452,30554.300118871663,2676.328116946217,49.73062823581788
4006,-20251.035874452133,9345.6577604275,1430.9436302620343,-19076.751437696275,11421.164016874189,0.04279960407050124,46.17711946724998,1,3,1,8907,27057.624444462872,7452.759064580303,51.01038350904317
4007,-2188.7549117443014,-22978.336825865998,7562.825091130333,22238.251182815577,6026.171138350422,0.06652383978454429,51.952409036337095,24,11,,,,,
4008,19178.3950715374,-8943.419653512923,2659.96439774966,291.1975738761357,5086.615363016265,0.13031843451367833,60.592880874994975,20,12,,,,,
4009,-23513.626455636266,-974.5272453400357,-8874.250192876581,17852.008578098103,7481.173956852746,0.08058674873274176,77.31153283760952,16,14,,,,,
4010,-5622.718516494097,-21813.392735729394,6587.255671605086,-13965.049426563719,1563.5015484182134,0.14907248841891538,60.626535788587056,20,19,,,,,
4011,-9160.43306541246,-11328.113662401945,7560.360542185164,7188.2453184047845,9241.87695784631,0.14191349495128716,80.24690087172047,15,29,,,,,
4012,188.7744364916107,-14862.432916826418,14941.267233452592,-14423.501716018705,2039.804859362128,0.0584617426492202,45.28408115913379,27,22,,,,,
4013,-24103.41192278933,-695.9792895938299,6804.096507291051,-20194.009421294577,6325.650876905061,0.06164439924434098,57.422696625743114,16,5,1,8539,21754.610775053134,3918.659605187997,42.173270380241135
4014,8680.11948937238,-16074.734663728008,-4090.5233870097363,9112.02950416143,2169.4022734636756,0.08658573561970459,72.70122482054421,17,15,,,,,
4015,7902.194978544168,-6289.697364853437,-14505.631979333972,-9563.721102808648,6529.703014306584,0.16829055642391105,68.8290378063112,18,19,,,,,
4016,6981.062206379651,-23693.465212590698,19518.771612147124,-8767.664189566094,8571.362417075514,0.05877549875636896,56.906666526017865,22,6,,,,,
4017,5132.18938667755,22320.599206389677,-2899.8954710977523,23207.346409477577,4055.9081798551347,0.13283878922041467,60.8932721092111,20,13,,,,,
4018,-24099.21706354533,-4795.427866928643,-1950.6272940073468,-13039.292849484358,6992.379943654272,0.18493439110543394,63.379879305570384,19,8,1,8481,12535.6637192864,898.1271254053263,26.65068626703759
4019,582.5997731315329,20043.293089260857,5530.7862766447,4913.5689080111115,3599.266438211187,0.04624207553342578,57.728553559805015,21,24,,,,,
4020,7958.943481894152,2417.5905557605693,8885.596023162783,9917.66921845395,7212.8365826509635,0.14599797987148408,67.7327250732081,18,13,,,,,
4021,12636.331208725423,18942.54151346119,771.5417190184744,-19891.90665175806,7012.665182631668,0.10039115564260358,61.24551395653013,20,12,,,,,
4022,-14449.137654439553,-6013.175378843218,20269.485714220667,10651.06687705333,5321.538260012164,0.06964669604969692,58.54082679146964,21,19,,,,,
4023,19071.399133002808,12527.130742920483,14275.77537276312,-12199.451936510275,3512.2152927722823,0.06471734511806228,80.02403222727598,15,12,,,,,
4024,21600.469466671442,-1162.7507954718494,-13140.002243046933,19548.95750133299,7539.925759837917,0.12085773653578656,50.61849603977197,24,14,,,,,
4025,-20486.98588747584,3781.340175907986,5496.574254265357,17599.75115006198,3832.716023712831,0.025766744102337615,48.477371766997855,7,4,1,7289,23993.894299069783,4112.521974007192,44.606416273076974
4026,-2127.1915101275117,3626.936917895786,-9674.750337139965,16245.157323397187,3872.539244614466,0.07183171898726304,64.85649998017568,19,21,,,,,
4027,-7892.082629567281,-21389.227203007227,3240.1683340561867,12561.654196066323,10904.299843223036,0.06550869864177011,55.6975323253696,22,10,,,,,
4028,12502.333069840308,-2890.9632188794203,-19253.461723753408,13542.063565962766,4093.007920850222,0.07634578770839444,70.31530449801338,18,19,,,,,
4029,-2973.1293461445384,8420.988277537865,-15712.673166515167,16548.304922760784,7933.387507997426,0.12425277114371375,59.55219530468459,21,11,,,,,
4030,20470.346747706622,12321.249234616524,-14353.363752011634,19073.658420777443,6478.44807212576,0.2605192788572995,54.361604919111585,8,4,1,7443,25256.789285525505,174.25509372194574,41.93104437924745
4031,14697.606430533946,5451.837286950362,20945.553802028146,-10231.19459552047,1491.9931243731571,0.0563252313441074,71.51047160330296,17,19,,,,,
4032,-10079.619219590884,13624.099839501228,10463.967424284987,-3112.4099200875207,4433.297494018657,0.05130432088064013,50.8953971563526,24,18,,,,,
4033,-4888.352326576711,2224.008809013332,5230.912969562058,2299.0386497849286,10722.63401484985,0.12532905299223182,69.7297528697187,18,21,,,,,
4034,12278.04402650446,11258.771852484475,19995.823645753902,4727.025225143512,3322.5290470444415,0.07566133989251932,63.20481907216427,19,23,,,,,
4035,1674.1552718757594,-3105.4007377468115,309.7146433103371,21015.5401866951,6796.35961605825,0.1342981360277271,54.717863827887975,22,20,,,,,
4036,-11888.544384274619,-21067.30708772204,-6054.249626927689,354.58839118946344,8245.925310834442,0.11258047531681813,60.19213837296276,20,10,,,,,
4037,-3879.7226270651954,19738.4800411943,-1897.5981959329656,1194.3715483726737,3959.0017390616636,0.0338669407453697,58.71342925876938,21,18,,,,,
4038,1364.2580329373668,-15932.786857916948,19613.209566616017,3747.8540672420677,10947.167168282956,0.20104790254355198,79.69148455584859,16,21,,,,,
4039,11983.48445469082,-15671.256030138098,4150.87284168696,757.7551183688593,8915.405617956361,0.16297825900332907,74.1664032200699,17,9,,,,,
4040,14707.193146944017,-5952.398577931541,7122.9637940089415,-22611.480859334333,9562.347845900586,0.1282071582065876,48.88611129826249,25,8,,,,,
4041,6680.632163022445,255.41343963558757,-3748.298551431679,20062.523513480715,1316.2388596018313,0.16269360433850472,75.65861214614944,16,21,,,,,
4042,12993.258682582113,-6954.469404498814,-23487.813782381356,-766.0887447869973,3495.5901534460672,0.055448254919393786,50.827197549543385,24,16,,,,,
4043,84.5221318808035,-6933.136634054754,-5941.663795164863,-15808.315904253173,10307.065374159394,0.05302711523306352,52.73467960455851,23,16,,,,,
4044,6782.3912694120845,-12356.868501729767,16141.04233315261,-10451.965575071416,9968.193764389662,0.08006037662409636,68.91968619519068,18,17,,,,,
4045,-18856.50033359952,6291.9631564936535,-19254.01472323915,422.45988888389184,9271.317565983412,0.15262867911743264,57.37181566794723,21,18,,,,,
4046,-16552.88395759931,-5080.882308355878,5017.391528255721,-19237.39993663447,4072.0513150741194,0.055527503917267004,73.8197110490307,17,24,,,,,
4047,1500.96481373785,-8260.74440859928,22432.13699107588,-7538.842266849046,1736.8203456017877,0.077795468990623,82.22275802042297,15,19,,,,,
4048,-19856.234854408012,-13646.311467541578,16419.162136658037,-2097.78378212393,3189.0121231966964,0.06312866778586823,55.874458965729296,3,4,1,8828,28394.013835782236,4586.216054472512,49.48022989025475
4049,4834.217374502608,5750.16332245251,-11451.055953651157,-19883.144249868084,5721.721743458551,0.05991329247618336,59.22097881852876,2,5,1,8783,11772.365164062223,2997.6855550556047,28.655076078676743
