id_number,Ox,Oy,Dx,Dy,departure_t,value_of_time,repetition_time,watches,viewed_announces,matched,passenger,vks,detour,benefit
102001,6774.830605479121,-12723.524908149215,-2515.5365957612266,11935.726164686566,3083.5515848595787,0.06616947517660372,52.762552815765815,8,17,1,107445,14134.899631588765,300.86214646985536,28.153642667087933
102002,5235.159267040603,-5213.826607605508,468.3039644611854,-3424.3529472034243,1518.4805937331366,0.08117981411412657,61.77167828215539,20,52,,,,,
102003,6354.220692576608,9653.793658414885,7580.209096806408,3907.2839189302103,8352.208415423669,0.07601930224634354,63.71053201583851,19,49,,,,,
102004,10323.60692226037,8293.216024219233,18072.831960903422,-15130.03101411245,5993.890824279528,0.07955894679524034,57.2636779288834,21,44,,,,,
102005,2360.0208498652137,-6820.194591913547,-4625.204714076415,23397.023755368064,6842.433147610002,0.09860472824611316,50.03351695197809,1,8,1,109748,5984.256787044607,32.64912079898477,15.525358861765387
102006,-15515.623669412931,-11056.440510653454,-21692.03530435115,2030.4358346992958,6261.467498517037,0.06754502786448634,62.3200807183039,4,13,1,108919,9898.707157694167,1042.8972569671623,22.912406621991995
102007,-5142.590722799778,21212.316906219778,17132.598570423004,-8090.762186707267,11542.870549930112,0.1464016412114908,81.708638313492,3,9,1,111881,31536.0354002025,2282.8454397354035,50.318880839937904
102008,-17269.501370021906,4384.319535407838,20148.933242579973,-9935.532208836123,5020.345557249525,0.24402965232880242,56.99859259009407,11,21,1,107777,29134.260698338465,1232.4665481174743,46.86672724645594
102009,-5636.115179920347,-18404.42133729051,-2383.297975087735,-4113.411335128563,2140.114199926426,0.13573273813831305,58.396532829069635,21,38,,,,,
102010,13234.199225065677,9224.790814894302,-11123.764158909655,-6418.302374735453,5414.531637149093,0.04207625958689021,79.20358252412828,4,9,1,107042,13012.734426904615,4104.839232645594,32.17636048932532
102011,-16461.30302507987,16104.459286486941,5526.614497909326,7203.487668842434,10633.927287945213,0.09876086814719683,61.66674753514675,1,7,1,111898,19130.88117585786,1377.34223592118,37.00822341177904
102012,21223.297587452078,2732.1961019177834,6613.713323291042,-12827.284664832856,11807.23543335859,0.05931092610725259,52.96898094058757,23,6,,,,,
102013,-269.68221848903704,-19889.261942295037,-9000.278577499681,-19030.734058836344,10048.44162049453,0.10571817756814024,58.24526966657081,21,38,,,,,
102014,15240.191373398688,7777.489949752446,10431.749942570488,-5296.344679059788,10289.953569213641,0.09751621784175356,62.821848123457265,7,20,1,109940,4193.548329495556,257.5335567258826,13.176622829332157
102015,12060.175994489691,6365.555370315935,8897.49673901494,17289.580142007173,11197.48791976665,0.0710686960653103,62.11741325002484,20,33,,,,,
102016,-19039.330981007814,-1672.3372439863233,-8995.912787483861,10052.813178388846,8575.907593612079,0.046304985253586964,50.52990168524907,24,41,,,,,
102017,8694.014983780879,-13456.28842401595,-19612.181991432775,11092.187201946275,7284.083039735102,0.042168044826674314,85.26429695596165,2,7,1,110985,15474.618066272731,4714.428879697942,36.689046945970674
102018,3279.1217199849852,-1173.9236808807727,11651.75240172571,-5191.334823955025,10359.69597023021,0.09473982426418506,66.4450418628253,19,44,,,,,
102019,-1429.488765300459,-7221.592572385405,6928.514068467051,2967.4004868990523,6178.723927156355,0.0488662532646957,69.25717387322236,18,53,,,,,
102020,-7003.5388173957435,13714.96906957325,13998.828310057273,11255.686424530104,2938.487935560572,0.06047762849124465,65.56262629927129,10,27,1,110316,7719.713668393662,2286.7327986761175,21.50966970060467
