id_number,Ox,Oy,Dx,Dy,last_departure_time,matched,driver,waiting
13001,3331.8032222973925,-1851.8813198274183,15707.879274640582,-14533.334389788033,1878.1346716078256,,,
13002,-8662.633532869984,2542.4743690497307,12792.796000595648,20068.870677460756,6797.201487927867,,,
13003,7128.086351798163,8708.004623910223,-7404.31402817064,7601.743460437872,10140.680808383055,1,9195,29.98612791612868
13004,3150.084066196501,-9855.086552963221,-7438.915262058741,-13487.112481707247,7526.434916729758,1,11104,9.72936514624962
13005,6760.400532302068,-1321.8002940515216,-12518.701517464564,-13240.793998570289,10062.61503474529,1,12840,18.244038369366535
13006,15702.910496847908,-5391.852970470325,24184.160684802664,497.71978992816,3748.566397422625,,,
13007,-12861.589948993835,-3117.4609650200073,1447.6530907541965,14655.766555126596,10392.922681015743,1,10354,488.9066210303881
13008,12171.746160240771,13198.401147218072,-22376.712355106014,4292.3268246040425,11202.582943392497,,,
13009,9381.585948727858,-16964.42794282444,14701.131206069636,-13804.17262644486,7783.580146902825,1,11111,38.30506907688323
13010,17988.363740306304,-13309.415410546737,-3007.868173702809,5962.689778322001,10712.69647549108,1,11368,13.697126417360778
13011,-14860.089757881646,-1847.1679936546461,-456.2180267586482,-12250.20811798478,9443.867518130994,1,9173,10.203938339656816
13012,-8379.073142715322,18291.925785101084,15785.126086865079,1600.7120120980762,9596.663320398857,1,10480,12.5008698133297
13013,-17695.053774475877,-16393.118527524843,-12135.345683686977,9517.266328674785,1421.2568700306426,,,
13014,-591.7942776447453,-19933.872312976884,-8165.662820582253,-320.84691408030267,1564.6880770294733,1,9677,43.38743267005282
13015,778.281006061643,-23514.407552427812,12736.383582583992,8941.831912491922,8548.797497005304,,,
13016,-15367.087883239938,-1503.725113343662,16178.663490095896,15750.251016786075,8917.124049834067,,,
13017,12399.554545141,-19598.008058377265,5264.0263301755185,6551.562095166348,5084.576232085474,,,
13018,-6911.391774262942,-14333.297088501467,9633.229874432182,-10476.962244630993,4627.210470086325,1,10015,39.482906285773424
13019,21280.343540897105,12306.225293219286,-5419.265658633725,-8065.061123027845,5968.840425116162,,,
13020,-9842.299697353406,18033.766283270706,-4421.426730819683,-8541.919826818921,8443.780800772154,,,
13021,22661.689341122066,-8254.565773152812,-3338.4882777573184,1475.5864797108152,1938.6667898941132,,,
13022,1696.5772136310006,-1201.8923835152746,6774.342403610506,12334.97688226906,2303.503083677565,1,11615,41.76421488143774
13023,-3043.5254788335187,-1292.1760854604072,-5896.336030560124,-8037.035265660474,2077.133654411436,1,11912,6.69363187538147
13024,21704.808023942976,5701.237668834419,-7758.4066206806565,-6732.429530598376,3826.7243822873656,,,
13025,834.4818346328102,-5268.088050975584,-5647.197360751648,7897.57877528188,10044.151991746658,1,11681,19.056117298503523
13026,-6345.091918410566,704.3250684103768,-12963.915501614676,-20304.53270237352,2545.2344972741357,,,
13027,12956.062617152165,12633.924399921612,5939.210490203546,-12183.049950367342,8955.796060651588,1,9634,52.884160973961116
13028,3182.9357567378975,11027.912807634071,-23179.01377236844,4028.8416966046752,6158.866105035279,,,
13029,-7417.4933621675555,15482.49426540063,-13999.68366017717,-8533.199652933847,9827.265559349671,,,
13030,5565.927300202773,-1509.557181762255,-4511.40004257279,4312.788635034147,1997.588622434314,,,
13031,17885.10056208179,9846.020179924097,-16786.202589788852,2070.4033948825017,9047.467836313512,1,9463,7.218394682489816
13032,-13655.19663212717,-10418.335304854625,-936.4297674713198,2056.2785610190585,11439.53957564366,1,11458,2.393570155649286
13033,-9415.025572455837,-20170.63331390525,6552.22248636312,4043.628083802647,4785.275837963301,1,11181,61.96278669513231
13034,14115.636715340326,-4224.213460312232,-1403.883275562508,-1511.6452570538167,1319.6590339252052,1,10964,351.5563360538585
13035,-15983.743190328747,-6292.103908790676,-19888.811018709966,9.574925859924406,2709.425685828726,,,
13036,-5915.713262768797,-20893.940427973925,2642.6947344185646,-15120.932700274465,2598.5506731151736,1,9522,19.32200383707641
13037,21104.87480954478,-6387.633242927699,-20426.965031273307,-2094.582425445151,1890.053530842434,,,
13038,4697.42974267291,4705.645128664353,-4454.566390922861,-17519.90773378525,11669.8343480757,,,
13039,5280.838654482257,-8825.322966454463,20091.98410424711,4406.867252789885,8132.723372798145,,,
13040,-11602.739166310166,-13218.630251108592,-23745.954798498682,-6823.805931933814,6625.721584511344,,,
13041,-21855.94928839864,7210.092217208468,-10628.893231385073,18752.09279463777,7031.444426337052,,,
13042,-7622.120264629033,7234.96362374091,1070.1601223689613,-9552.94428724353,2080.9511315202485,1,9113,15.906946929946685
13043,-16474.453887332864,3862.5703806488127,-11651.890155533934,10344.497382609072,2242.147031446933,1,9753,21.031571983956155
13044,23208.851141919782,2460.2234686094016,-21972.754159614233,8312.153307755434,2417.5618845349572,,,
13045,7438.623395258081,13090.326036299462,5705.7794068742005,-4224.094783138109,6388.267633284193,1,10803,44.424164885258506
13046,4738.8985635977115,21562.8163388728,-6492.469213039265,-21491.244527175157,9345.62005721602,,,
13047,-17231.541043446614,-8190.909138580384,-9755.561661777345,13257.446166194532,4414.995035275428,1,12051,2.992766735740588
13048,-3431.7023028348667,10272.560749299832,-9514.662205945424,18507.445022130305,5265.639584931072,,,
13049,12171.414997063883,6567.097284409705,-8967.868602560407,4809.292371297004,1243.8029991904727,,,
13050,-9470.17846998548,-15005.59656304184,-14560.319661257981,-925.4508560904651,7001.487909376828,1,10108,165.63699743633333
13051,-4214.599946959741,3347.083824809364,-2217.3940209675457,-11135.216841762496,1207.1974672197405,1,9828,36.747188692968585
13052,2588.9067240446493,19296.82808054531,23043.639752670788,-8773.935030166886,10780.430256650976,,,
13053,10016.001380112124,8019.549588986571,4444.967390640693,-24126.637015644526,7160.247019032394,,,
13054,3618.758072075685,19824.455131679722,15730.75355615488,-18242.58612767546,7178.68577052024,,,
13055,23435.389434351142,8435.46971501896,10210.277917915453,13729.839818371584,5708.861722520436,,,
13056,17546.734480243,14409.173486843327,-10219.65358057496,10122.238890653025,1517.5076287058419,1,10890,341.14539547253145
13057,-447.4115678153139,13496.610449329797,16391.75663208423,18168.596321275785,4062.5738371783873,,,
13058,2353.2414180499836,16951.054875889247,-4119.611238022673,20877.081910032095,5382.110300695387,,,
13059,6788.394953252464,23053.280153062777,17874.912709318167,-9048.619951375886,1659.479589467951,,,
13060,-9857.08419026573,-10501.539819533335,6029.752287246047,8338.770163545465,9323.688609950794,1,11545,142.4915383684538
13061,22196.94412813797,-2726.175508407876,21901.054919119146,-10019.53438191524,11442.235393175122,,,
13062,-3484.0010308900673,14985.437973061336,-22524.412886453014,6136.667356112739,6963.414759639505,1,11775,64.53519875986876
13063,-14289.624097191778,-12302.611579884448,-10014.89985967901,-8019.811044011916,8124.929525694466,1,12651,0.9385825383160409
