id_number,Ox,Oy,Dx,Dy,last_departure_time,matched,driver,waiting
80001,-2683.814837265043,-22346.501758188802,-10384.182246852786,-13563.54205070419,10687.149075990737,1,78911,43.633129723642924
80002,-913.1542292800259,22436.359200989347,-9995.659595307037,-19532.55294356754,4701.711797750565,,,
80003,6543.501753664899,2635.4058612328918,-19562.561389272476,-10291.474545629786,1362.1080195958275,,,
80004,-3127.5275345859627,-7301.167583307368,3336.6488324083,-20399.35557015749,6295.911556488258,,,
80005,-1534.0558076657835,18518.243725205546,1136.6694648525518,-813.070483184998,2606.135652683615,1,78977,33.49233915203854
80006,-7656.209609037407,5279.4397977302615,19162.668080351985,-7075.829819200935,10599.65490854818,,,
80007,-5155.2413400331025,-11318.24022977258,12081.339012656303,-18935.59960772826,4039.8616133305377,,,
80008,-11931.939651533447,10865.141100714623,7539.726121080061,7422.668761181521,3548.041083724621,1,79357,59.06601279851611
80009,24817.647819218815,-921.861799714774,-7863.862632083274,11350.164112824103,1579.3464381413344,,,
80010,10495.498795227948,-17526.30159231866,1299.1174508719232,4176.907125154939,3581.2610498468453,1,79198,293.7046136387062
80011,-8991.763163626743,-18682.308548416273,-12386.72127195789,-7954.872183107385,11061.850071883953,1,78495,34.599711597024
80012,-19422.75071728649,12701.297253403754,6849.521151368932,-17657.774688076766,6687.7899897726575,,,
80013,8479.06301979335,-2807.718603052028,-3741.1882185304676,2324.9533770082926,2588.2880979525958,,,
80014,5730.5936458424585,-14296.971977881618,17571.201509190447,7419.778737281686,3963.609950147247,,,
80015,12296.788227982724,10076.891189090653,-292.9588243742837,-6474.799992008819,8930.594599679102,,,
80016,-10969.441436586125,17820.7458085518,4402.650409371163,1134.664975117139,2245.6444900912975,,,
80017,-17332.274219560666,11691.970341510823,-20998.52875342973,12660.544257928188,11171.781169525802,,,
80018,-22245.436874241237,2163.4932398343917,8205.46543877948,-2686.4586038016387,9364.249965499987,,,
80019,-3444.705447699631,-20166.97778734065,288.11694076527056,-3774.6956479746113,10574.241894365236,,,
80020,-15607.607172682108,-4490.348541827461,-11522.70217782031,4842.517641180279,6316.221392689756,,,
80021,-3735.23355979225,7223.780126829428,-20681.67780462159,-5505.172068805648,1587.8218864773503,,,
80022,6540.940431811359,11627.809956075573,-9633.402861229311,2848.1328266243,5142.009575068347,,,
80023,233.51884275444172,9414.237879230554,15247.684282684844,3798.4536964168583,8992.120137465656,,,
80024,13713.419978688646,12109.26953174093,5368.643761940308,10013.676516429448,4183.266181209263,1,79199,250.09798453883514
80025,-12079.408807040127,19316.140180931005,19053.26388248356,6648.382000084839,5471.331546269797,,,
80026,-1209.9968433558606,7109.624530409943,-3547.306856182662,15116.742743993607,5500.70243807886,,,
80027,-437.13873354588213,-2561.4762546360907,-6876.911852024852,19739.01550493433,2734.889567386562,,,
80028,-5838.856983146921,1301.1110005918526,3805.1342887028986,14385.996727491322,6408.844728622393,,,
80029,-6054.969374321954,-4941.849365277416,9761.568508118864,-19779.36941143098,7518.096097053014,,,
80030,5799.817403344852,3030.0497910888553,7789.953463353595,22256.48018281214,8659.608933859052,1,79725,38.29598012745009
80031,8802.323486106288,-10130.501389345209,-2115.717667888479,-9091.292560171416,11505.317547386465,,,
80032,11901.483429484899,-6022.958197521788,23197.743082852947,1582.1230750122377,5858.379680849051,,,
80033,13545.871666109808,-18549.224941974757,20912.31452813449,-10670.287433284937,3471.9599758411864,1,78567,26.37095877943011
80034,-16711.343753122448,13110.9707515294,17356.141870575135,-4211.257635247439,3832.001631080537,,,
80035,-1869.767783296793,2390.809648181792,-20312.335617415927,-9597.016016686766,9321.468177041033,,,
80036,23375.689527823743,-5158.581772307469,80.4798228530235,24553.00047290048,9705.776437977805,,,
80037,7461.30174873933,3934.29188548186,-2357.184363457527,-21436.528901127138,9486.392023222385,,,
80038,20828.709440281396,1971.4841447976578,10081.721121477327,-17239.758898635366,1996.2351958973154,,,
80039,11095.262016714543,-17918.226588021607,-10763.59374581196,-13460.743603078352,6801.938371158049,1,78630,28.95752702664504
80040,-19007.146434367784,9125.804731716424,-8769.496396392451,-11918.878653831473,8999.407004006222,,,
80041,-11538.54110394456,7769.764589284954,-23274.28569793993,386.7178198523652,4307.282796605952,,,
80042,-981.4482229385976,13981.645545209678,20051.494146672143,-11168.270665628315,1946.7891768711588,,,
80043,21230.419663054803,-4383.892158486742,5303.483425919814,-19415.512308028134,10732.982272942201,,,
80044,10151.96825150826,-7529.081737240867,3464.670449224872,21310.597902811016,10537.363565651996,,,
80045,-16944.41703659457,-16989.34633517893,3230.759028228298,20326.296737322904,3768.18182330351,,,
80046,-18033.62446311766,12473.09628514538,7543.675435790341,-6947.527488060561,1414.9309459599888,,,
80047,-21864.481670360714,8481.600206450596,9385.828798665061,-1703.7280094882299,2419.1543129466195,,,
80048,-14945.954322888478,-6387.609852908543,6301.277137498706,16717.958880562124,2724.665533311284,,,
80049,-20432.238974129425,1430.9973840587918,13181.399484282512,6166.799239439086,10429.833181923137,,,
80050,16606.150300838955,2503.102663351987,-1241.396524847154,-1729.434298519638,5921.71954626214,1,78556,104.08791665638182
80051,-4392.455472543956,-18089.434305462702,18980.33374311535,13355.463675073013,10566.005860097866,,,
80052,21297.714947323257,4546.113842558174,-14676.729123702726,2603.663497786245,11090.249338716056,,,
80053,24059.906498949284,4603.418115770226,4047.259665270896,1750.2238890960034,9050.507294102947,,,
80054,-22333.740610440178,-1188.8561822212978,-901.7849671275071,-18439.087064279447,7880.506940034284,,,
80055,-3087.7612503729906,23936.68025837467,2443.8931793508746,-17783.622077341803,10835.968354633567,,,
80056,6611.204325520699,350.95152404924374,370.2679312570799,10691.389032434854,2334.7695322327672,,,
80057,-14915.068125522406,2608.8664364621436,45.090461840274656,-19829.502876612944,7247.163027851243,,,
80058,1639.8122305743273,3659.4396732633977,-14228.665307227684,-2078.453664634104,10913.554579618192,,,
80059,11655.603708574854,-9783.617043621112,9342.522134615669,6562.460418795363,2070.6792507945256,1,79976,256.81672202719903
80060,-16590.160038443308,13682.783606353507,-12860.258481465293,-14761.559221071597,11505.603940787716,,,
80061,27.902641558895994,-528.1922641042038,-21004.01106854906,-2879.6730359215144,3635.227750832396,,,
80062,12441.118883642404,-18051.007848513284,15638.58080193727,15474.581245499365,1862.7110462413048,,,
80063,-15575.779323266286,19354.169038298052,5837.795108714177,17852.101666657683,9902.35984975471,,,
80064,15378.825293532653,-15047.625337530419,2382.6226312128056,9063.455065702525,3769.445899245436,1,79227,41.283035016501344
80065,15808.094594701746,-17210.587347466793,-18344.423261300348,15132.2450724859,1848.9513474873124,,,
80066,-11429.874144017416,-6921.248750066712,4294.788179981606,3397.8915327424693,9492.606813349803,1,78079,20.261181180563653
80067,11751.649384605997,-14277.183763799128,5930.293344589172,-12290.817389694303,11026.63679438111,1,78702,37.68755975519889
80068,11919.232815884337,-6388.162956204473,7585.011452839324,-20881.784575903945,5980.120047852576,,,
80069,-9651.590654850555,9418.306307680788,5404.16206402647,24245.39622073528,8459.128836706392,,,
80070,9762.091179003372,20816.396895466423,12176.596337851799,16993.696279766977,3973.4491922123257,,,
80071,1862.112438873548,3048.0656881643517,5290.180966976834,16623.355785617758,6524.836883797931,,,
80072,7327.836488756446,-6078.940261672389,13495.677855454793,7427.6007523693115,10327.779119492452,,,
80073,-9259.111280459974,-13136.41659398269,937.100291937204,12256.795422034542,7125.555739927233,,,
80074,3354.66804037544,-19531.24971861745,38.278343762958684,3336.317445833305,1721.993510552927,,,
80075,-1450.2085059647106,7261.992594720225,4991.100295765551,9433.984776745412,8889.344234339387,,,
80076,-22664.209945861596,206.6419602263668,-8468.217032739143,-10875.56256417992,8719.63778338907,,,
80077,-17867.863288740537,8162.580942770779,16223.010196363342,7570.7081854061835,8880.43699434497,,,
80078,-3828.1251881066564,15410.186424725944,16214.584448131187,18613.255913562454,2424.3471198987254,,,
80079,10973.64598264479,4707.411399710865,16442.00624250361,13219.11432035431,5091.604141032991,,,
80080,17726.299142458738,10880.434160434219,-18627.208066566607,14487.271202933858,4747.996196912947,,,
80081,7883.35490674583,23693.505739457563,4642.574948241519,-24234.217626987127,4191.797473254778,,,
80082,3878.5009160498594,-7027.288087174667,-11612.783086925992,-13289.942849256226,7096.990514290286,,,
80083,3946.475436599965,10069.315037331893,8103.835355059455,2067.062771237099,6620.3682563840375,,,
80084,12641.758729307097,-15569.328028483065,4.282626101703499,-20147.037891778546,10428.143732422153,,,
80085,2221.2449001140158,6419.364304272429,-11909.624272344448,9791.505965781129,5764.246101815246,,,
80086,17582.335925696985,2324.395619592913,4402.870156337784,20561.005986607423,11029.425707308033,,,
80087,-11101.610567812713,16900.31086581359,-16117.835713644734,11394.86639619666,5448.711847116068,,,
80088,5537.3128494220655,-1162.0022727397482,-16548.985016355873,-8290.636246038124,4784.063851549103,,,
80089,12623.076270017686,-18153.216997444943,-4663.785146991111,17178.1908421954,1735.1179278896147,,,
80090,19110.64440511977,16065.322808681041,8620.137143812943,2634.0654844345736,4185.552447919176,1,78051,58.26240729180745
80091,-6332.795874381096,4360.689993732449,-22820.116544417135,-3578.618532831846,8455.474516955193,,,
80092,7651.009362544126,933.8443844947797,13931.479290180643,-18436.811163621085,11806.70864759463,,,
80093,-9875.206250562334,15685.088839458913,-3371.3792879404355,-5799.015651229307,7288.796634464168,,,
