id_number,Ox,Oy,Dx,Dy,departure_t,value_of_time,repetition_time,watches,viewed_announces,matched,passenger,vks,detour,benefit
48001,-10178.21175033985,6568.88551517672,4366.575186341164,-22089.982979047534,3359.389767371774,0.04204695317337108,55.39151111413142,1,4,1,50875,24426.59052807785,6024.418276574419,46.95100880465227
48002,-5634.35480661285,-8270.586179626021,12341.569610667488,-20794.05958473452,4723.048802656591,0.20073433907828553,62.72614738756492,10,24,1,51005,12340.832413363241,718.7722531277486,26.089406999736486
48003,-5745.323047731941,15711.580978046259,6960.7785883782635,-10085.821286665336,8963.215806606375,0.11767524940373264,60.21106833689712,1,6,1,50744,21155.259308249093,1908.6365974554792,39.56389590570457
48004,437.12320950912545,-21261.658684986134,-2805.8055411912974,14284.421836731155,6416.553305105869,0.09267805247586793,62.15301526283977,7,14,1,51868,9488.943471132578,615.5384925047656,21.656722945456018
48005,20064.58444920731,-12560.24807219821,-8757.18949212308,3549.084720076844,3699.351197010823,0.07053549585347249,69.18257697167208,1,7,1,50717,23240.716757676644,578.9627897485843,40.319679547425224
48006,-8387.751544543702,1090.2880523916137,1268.9841721254415,14219.383018842644,4607.211590360334,0.04532310195115944,67.56158338145403,18,43,,,,,
48007,-8960.71417392777,-1540.1772574331299,-7293.121380874862,-21487.080282772953,4043.9370434261373,0.14523269717816467,70.6357201687323,17,37,,,,,
48008,-15787.0486149229,1902.7213527098756,-19349.501831529466,8800.685604677252,3838.443321980326,0.06745136817627263,80.69966845685421,15,28,,,,,
48009,-3836.6620420920663,-7627.623016553465,16734.71550012994,4989.430883118206,3900.356482447413,0.11609971675356957,58.59069912553907,21,41,,,,,
48010,-15873.625341983738,13868.438273626452,-6188.94988893437,-1798.0128379733396,1651.6354926718004,0.09491480821196548,70.26979077587187,18,48,,,,,
48011,-12760.248557909375,17146.3569789155,-5709.114791534263,-23175.604236810836,9530.45216271586,0.07392514131252324,62.19560199441905,13,21,1,51816,27996.980292776047,3581.4841006355964,48.07846439341164
48012,18043.984389029785,8392.14013624571,4446.068358143595,22997.527954452642,2952.2827703978837,0.09747408996101026,80.60535236940446,15,40,,,,,
48013,-15980.017847355926,-17514.719743939117,-6398.041182468172,21252.673641666683,3777.5042507096186,0.06804762415287069,57.01694188304176,4,5,1,50042,33529.8380595489,371.2710312616182,50.401109090810515
48014,-18344.715582046178,-11465.013528138457,-6630.766717271203,-11027.764099423004,7819.897501055805,0.08691314324328604,52.68711035168752,23,41,,,,,
