id_sim,nb_passenger,nb_driver,execution_time,nb_match,driver_efficiency,passenger_efficiency,average_waiting_time,average_vks,total_vks,N_passenger,N_driver
2016166165724,2000,2000,6.100610971450806,541,0.2705,0.2705,103.53657407693399,16330.232454003904,8834655.757616112,2000,2000
2016166165731,2000,3000,8.814218044281006,727,0.24233333333333335,0.3635,85.07714953049994,16737.55774210087,12168204.478507334,2000,3000
2016166165740,2000,4000,11.069419860839844,920,0.23,0.46,74.62300642541962,17199.142765956676,15823211.344680142,2000,4000
2016166165752,2000,5000,15.356838703155518,1032,0.2064,0.516,75.12378326602936,17782.227178408382,18351258.44811745,2000,5000
2016166165808,3000,2000,9.244528770446777,697,0.3485,0.23233333333333334,101.86402016004551,15860.327761695866,11054648.449902019,3000,2000
2016166165818,3000,3000,12.90673828125,991,0.3303333333333333,0.3303333333333333,92.764197180461,16250.397327429026,16104143.751482164,3000,3000
2016166165831,3000,4000,18.12403655052185,1289,0.32225,0.42966666666666664,81.29052245363354,16606.282699930052,21405498.400209837,3000,4000
2016166165850,3000,5000,21.11620783805847,1452,0.2904,0.484,77.70978362413126,17281.468509042246,25092692.27512934,3000,5000
2016166165912,4000,2000,13.865792989730835,859,0.4295,0.21475,107.08991456256526,15586.021160965378,13388392.17726926,4000,2000
2016166165927,4000,3000,21.41420030593872,1213,0.4043333333333333,0.30325,98.21642919312609,15676.675074992954,19015806.865966454,4000,3000
2016166165949,4000,4000,21.11245107650757,1538,0.3845,0.3845,91.09934319104434,16357.861063169434,25158390.31515459,4000,4000
2016166170012,4000,5000,32.85179305076599,1863,0.3726,0.46575,84.05171355046237,16859.865833522308,31409930.047852058,4000,5000
2016166170046,5000,2000,17.52200222015381,971,0.4855,0.1942,115.50767384139326,15853.061196854209,15393322.422145437,5000,2000
2016166170104,5000,3000,22.96631360054016,1432,0.47733333333333333,0.2864,103.72782487741948,15960.021131849215,22854750.260808077,5000,3000
2016166170128,5000,4000,25.360946655273438,1748,0.437,0.3496,100.55240437457462,16423.66350052849,28708563.7989238,5000,4000
2016166170154,5000,5000,28.322529792785645,2094,0.4188,0.4188,93.54114293335842,16131.490003729847,33779340.0678103,5000,5000
