id_number,Ox,Oy,Dx,Dy,last_departure_time,matched,driver,waiting
88001,-20877.752454435868,-10593.233600123463,3314.209174248652,9600.177535610826,1554.8270951099091,1,85094,224.73602909805982
88002,17330.705292443374,1347.2635772383983,-14094.774574349667,3633.7693357988246,9403.206957308628,,,
88003,4686.728240607259,21178.96462539852,-7454.363042227356,-2623.9003514971046,10790.498237446644,1,86826,49.92226119803854
88004,5532.633773837577,-14989.56614059127,10388.141323151147,3283.4281797890762,2200.4870681964485,,,
88005,-21395.896993198283,-11889.927200825485,-4888.175132463541,-3671.794107961403,11489.608825741325,,,
88006,10246.135541734475,-15494.170663843843,17712.16779668004,14628.24425152503,6296.1467001534575,1,86775,5.331679657784662
88007,19463.761241230844,-15023.423050683721,-10899.961424697529,-6210.1058397949455,4273.164734639413,,,
88008,-1585.3453983186155,9740.362540288173,5413.990776553812,10112.558093861167,4702.06544254296,1,87376,7.509630432150061
88009,18465.797770822966,-7750.499938480381,-7160.17234232476,957.9199905818132,7368.933533277603,,,
88010,-11357.396377167439,-19907.456431660816,9849.057232176718,19694.673397745733,8812.426009599862,,,
88011,-10853.452914477746,-17842.51408903012,-13706.833641495248,-11974.541312526566,10501.547165133752,1,86860,34.02556419470602
88012,-16856.448319800358,2538.7462766204735,-1528.0016820676356,11379.607227128938,11050.703978709476,1,85232,33.4785621689698
88013,2788.5078157726384,-16714.375709811124,14697.868076092105,-2996.462528690401,6746.991671977017,,,
88014,-9091.535199114674,7369.213107668304,1182.2934938648104,-18551.42907473427,2987.2916645011346,,,
88015,-14480.99647827421,2160.401289998721,2281.1902622087473,3076.6699061287654,11127.172157694964,1,87808,22.39251220310325
88016,6851.369937532287,-10556.84067674889,-1452.3398615072729,12070.895131624282,11642.47606004945,1,87395,30.226625061677623
88017,15714.539969511621,5016.296590837934,-14226.31218096141,315.949247960878,3900.003492863505,,,
88018,-5473.059386870504,5526.897942586951,-15655.167664987035,10912.319280827156,7314.6139442689455,,,
88019,-4332.071674731564,-13267.425873479577,-307.36105348269484,24761.87980642228,11676.476621405305,,,
88020,12533.250762860152,-9657.128981858992,18645.758180369747,-11909.315640520717,5463.270115387156,,,
88021,3096.105155898458,9418.06949882579,11865.625358916863,6392.498484990956,7369.438011316075,1,87886,76.8734435521128
88022,-11474.629553094228,9412.87431766656,7552.934797508442,19978.284641118276,9125.054610264666,,,
88023,7781.822695878829,-5955.418566411739,4094.186257640751,12722.290380048755,11703.100303983127,,,
88024,-15564.338120884559,600.7777639619962,10422.338433664583,-17330.9852367374,10957.222764912263,,,
88025,-15954.769493884818,15098.185920751552,-17817.72105051815,-13873.917825901328,2722.1740769556427,,,
88026,13051.310820603503,-18216.045672245808,16278.1707426524,18374.805856939078,6582.063869030318,,,
88027,-9702.622817542928,-3065.4012760552505,15678.432990584908,-800.9098722405834,2588.7047140203176,,,
88028,22025.90726612936,8011.106157836875,-7129.584018714046,-7478.672898852339,5845.111384351788,,,
88029,1641.2779076854968,-23035.336914011838,775.4236636688511,14653.237818715548,7097.4074935674,,,
88030,-16962.58842263904,-5997.677756220517,4807.890008384373,21163.193906985056,9337.085811532137,,,
88031,-123.73972885721378,9413.794377169754,15670.221175537998,16738.250004877773,1611.9459031125002,,,
88032,-10077.955444898635,-11784.168108948956,-4061.1940983053937,-19293.751148759413,9275.819451065268,1,87653,16.187532774443753
88033,-9010.176637133338,20140.227464577132,24138.62114753104,1641.7127813958214,5062.854694571479,,,
88034,-19775.259653949826,-14711.233311703903,21408.778872420793,8403.67639765724,2368.2666281141574,,,
88035,-17452.96774039203,11865.74831642017,5773.192318561643,-11507.761602487453,1861.9269627715025,1,87282,314.32916577581636
88036,4698.53562563191,19998.075893122834,3621.6498143512035,-19571.100475893327,8145.937879987176,,,
88037,-12427.669925712076,7234.137147509173,13238.82424248354,-17346.729305305707,9117.75097980949,,,
88038,20469.69114764849,-11625.989926537179,-4080.219327446379,11871.316568474402,5250.2445582712635,1,85498,393.44107746938244
88039,15129.156231828681,-18291.387770269925,5027.641354455915,-2799.66135945882,10456.745842653892,,,
88040,-5831.432223808657,14631.326286401134,6573.80533914917,-10864.217535629201,1746.6869908980207,,,
88041,-6717.784312422398,22761.826464531092,18282.62764358231,2495.5117059047698,2276.383056554111,,,
88042,-12800.005603393032,20892.31505380435,-21700.162838938137,9395.785082391369,2189.064768948374,,,
88043,-1346.9213311381282,-13183.434202359584,-5702.367868381909,16805.69108487376,9529.827234375385,,,
88044,-23814.60118509875,-6990.527741933529,7557.649749527129,9829.350736276101,7511.68581497244,,,
88045,22426.18329695367,-7856.342806118788,694.379555012787,-13134.764834328987,10990.828373488283,,,
88046,-4858.929542209968,3172.838474297372,16112.408443095308,18442.704528415357,10740.335777847278,,,
88047,-7599.217251786329,-565.1698462634304,-8601.19918226001,17052.664513145588,10904.073543970155,1,86398,67.09632627409701
88048,4701.278576391138,2876.3255420928654,1046.1113109904109,-18750.385878729176,11598.349645652184,,,
88049,-6953.119358301439,14637.6929871936,-11648.757925805508,10619.974987538495,4690.969270465275,,,
88050,1737.1803781649032,5760.596314887938,-15798.796386267488,-12652.129474714779,6754.523393195672,,,
88051,1852.1001228661808,-1328.0706895607,-11837.880871423156,-4616.692487251123,4242.019310481296,1,87491,11.328373960580393
88052,-3739.457754935811,-13701.787351172934,-10606.301752287927,16389.72394511113,4485.675058403058,,,
88053,-7647.628364734654,17144.55047851601,-15308.02885194123,-18754.346200670614,10585.104876157544,,,
88054,8054.956176034029,15030.810181382105,20804.193246836883,2605.486642239819,4032.871902227065,,,
88055,21751.882001849175,-8377.814605661653,-22441.58857961132,10003.608785733872,3660.6709262836516,,,
88056,19247.58122601152,15415.356686902414,7058.02025480794,-21762.41819510612,11057.647338657318,,,
88057,7834.110239866604,-2197.578054322079,11418.205094310513,13578.87364544534,3301.0082518536065,,,
88058,-22839.888771924343,-8648.85975369914,-22986.440577032346,-1801.4633658623534,3975.9381112672045,,,
88059,-1668.149883101949,6828.211675462087,-18483.02571831336,10909.92522281834,8122.765982093088,,,
88060,1948.5802776351811,15836.267293934769,18938.779351890276,-9150.673865400866,6486.555413137159,,,
88061,8734.543650579566,15767.997008920225,15413.769024841116,1322.9042138564291,11376.451937171036,1,87670,24.47215351709383
88062,12017.007863411352,16287.850313571304,-11160.997202560202,-13317.548960583224,7693.045766123209,,,
88063,4665.381762127319,-21176.574673473737,7252.759931436311,16912.211084289782,3475.3579973409323,,,
88064,-2256.633406485402,2708.1248444464472,13764.59105022921,-18925.883349846317,3939.3888739477306,,,
88065,-14536.828314674272,10998.141107063086,-3809.9837757931455,2263.1702562169194,1961.5538132527613,1,85649,35.15542607562213
88066,-14439.173311251685,-2422.0264923069735,-9252.74283399361,-11326.840258314996,1949.3986474742376,,,
88067,15892.7753705305,-16051.335723057131,-3834.8632904444858,14250.806861940378,6252.03505269984,,,
88068,9262.727673973473,-8255.12982622872,12179.966286830953,19571.050695908707,11179.883833728789,,,
88069,-2483.906340449117,-23745.320009207426,-8814.456211877708,-412.8929287472456,8579.12456035899,,,
88070,19458.23075460473,-13947.468243310273,14404.40975370384,-18556.676985261667,5108.614321322416,,,
88071,17201.537050185747,-5339.623016602312,-4164.174371011144,15660.465603460842,3185.04746406693,1,85924,123.70982412575017
