id_number,Ox,Oy,Dx,Dy,departure_t,value_of_time,repetition_time,watches,viewed_announces,matched,passenger,vks,detour,benefit
78001,4787.977945137594,-7402.943963777863,20010.113978714115,-13801.871884780237,1262.9929716666238,0.038385655182921044,60.61428993045702,20,59,,,,,
78002,11861.936712418705,-6492.075356015172,7155.191217356871,-8680.181858505497,1977.196807905469,0.12275159202415897,60.34036608856948,20,56,,,,,
78003,-10886.261831103688,13816.448420318207,2313.4748215182844,-7425.951221072013,4661.346605128159,0.022855504280766718,52.774456688841575,1,5,1,83782,10026.172421190191,7579.319206812752,32.90823744200442
78004,-5219.05314160321,11376.349160539183,13103.757924976402,-18681.835002299318,10145.596309448936,0.11672507909300185,65.54907058782918,19,57,,,,,
78005,11184.052708232884,17808.645679231733,781.7535708961805,21559.36407080634,11350.769401313844,0.09717388326385067,67.17842489383239,18,23,,,,,
78006,4656.106518837154,-21611.631510999625,1582.7565694406258,13958.195416310904,10986.120508797878,0.07757027761893336,54.76461141530328,1,10,1,81549,32681.138407543087,3280.3716524231895,52.46151005996628
78007,2570.1925169717106,-7535.165991781763,-13426.655748296418,-8184.884174596125,2272.764084464862,0.05919621891536773,49.38759768611356,25,51,,,,,
78008,18171.583906852815,14113.754139912475,-13287.012379462582,-11752.8083525818,11214.52384273531,0.10289634259021987,61.449838658404076,1,5,1,81126,23757.998391374156,2636.7799897050354,42.89477838107919
78009,16304.395946409219,14952.989682676387,-18305.240082460798,4075.6086528283704,11021.113741543768,0.05475433875749761,59.14824909655389,1,7,1,84394,9155.028973567409,1822.2882003549512,22.96597576088354
78010,3336.855497949866,14404.699210867759,-22821.899106492987,-1701.4740575944052,8635.91817186052,0.11910587741669912,55.29045931505768,1,8,1,81940,26556.978479375,1756.4600886680164,44.81343856804302
78011,-20419.506325728078,9985.66150049676,20547.857884587436,13387.512924951181,6129.1693959589775,0.22696221206030145,61.84942358441598,14,30,1,84622,11349.312939084331,96.76921504740858,23.66912323119761
78012,927.6530148354504,-15828.828190296796,14707.30862166985,-11549.374235068106,1918.2316007573281,0.048304117648852694,46.546746427043054,26,65,,,,,
78013,4239.215467712871,21908.958848055474,17195.84881145726,15677.305049428622,8057.851042506399,0.05443711065757606,59.81731471502236,21,35,,,,,
78014,15357.184016777705,-4751.589143005429,-9247.214097358625,-4348.429207652211,2605.512487158072,0.0902437419023125,67.82656088227131,4,18,1,84491,14956.041360299232,1263.2781935543135,30.828979330780317
78015,8758.345214853362,-13920.595591188117,-16950.968814004038,17467.77494549132,6194.91735050138,0.0869175437554909,59.27864598723415,2,8,1,80590,3755.0033033149084,573.3491905244337,12.992528740759013
78016,11823.021468362218,-7015.457921123569,20476.04215168328,-447.17823176658567,8147.1349495754675,0.08838210958943121,90.05319422824348,14,47,,,,,
78017,4825.742695200541,2765.0596639623727,-13704.68729019393,-2016.9214182430733,8886.982660811722,0.04033573297239153,69.53934754634419,18,53,,,,,
78018,-9113.203288847017,-17018.90815510258,-54.18876811896189,-12335.285389394696,5364.835672118746,0.07811333317013602,67.54708114650202,18,54,,,,,
78019,11998.334118546401,-3774.309051747714,11617.888146281126,6451.943140350784,2122.374968240252,0.1282795763934899,77.2430293175971,16,57,,,,,
78020,17422.68527917225,2017.926509210265,-21314.531113952016,5565.051717017999,1518.7085033181895,0.1652101490793477,59.599586528138836,19,50,1,83392,26555.074454064466,1199.0704941478398,44.25414494821231
