id_number,Ox,Oy,Dx,Dy,departure_t,value_of_time,repetition_time,watches,viewed_announces,matched,passenger,vks,detour,benefit
93001,15341.901753811238,10436.056497667763,-5880.621765348427,-15044.009333799719,9876.27060293591,0.09223293457433276,61.489549686881546,20,37,,,,,
93002,15180.043765447539,19088.623707707076,-14939.197337766802,-18718.76635867265,2565.1112741538245,0.08023795328318853,49.673086095292824,1,5,1,99179,43623.975164198615,1476.8672278641316,61.600842392062745
93003,-16614.975737332767,5594.419631992565,5956.381909547694,-12077.963151556281,9797.413108129143,0.06602235712534926,46.60332622036023,11,18,1,99236,18010.26640038731,1626.2687127583413,35.954802669718475
93004,-13259.948271557276,17582.878970187077,14952.887172676623,16025.826476294911,11460.79164702067,0.11797746587692717,60.42480937401748,20,13,,,,,
93005,-7749.714741711956,10020.785323218442,-12406.862108253446,18587.733600566033,4411.7552650789,0.34625131163725414,60.41325807654948,20,48,,,,,
93006,4532.8015294929755,-6807.16615022346,6889.972534310917,14987.088799420198,9856.18177680503,0.10775716345606981,57.7578778748506,21,39,,,,,
93007,4626.73803761568,9388.665904147507,-3906.4769420675984,-17896.30264915439,10888.368288715545,0.06637148003149228,60.90244872002567,4,11,1,97792,22573.244469864698,2192.4890573723205,41.26573352723702
93008,17843.723868841174,-14890.851459249816,5319.349168574878,-16901.634741886817,1939.9202488959172,0.06362625404245592,59.71366480153282,21,32,,,,,
93009,10048.643448095565,19666.94298857452,21565.40807522626,10967.574370063347,4459.204434709112,0.06445864869686713,60.409819548612965,20,44,,,,,
93010,3278.6207943088157,22378.331767220414,367.1111654857523,-1237.974941744389,3164.241694668897,0.0600853277818619,63.47366568741504,19,27,,,,,
93011,17483.21312206886,3389.31722995569,11523.901040487348,-5483.633600155423,7431.437924588801,0.10196944754376787,53.517384379180996,23,63,,,,,
93012,17114.042982496583,-17985.90061253466,8750.225745336254,-1329.174890677892,5953.582286822368,0.20991313711169582,57.976113648428615,8,15,1,97490,6539.7695807704,470.8802198786998,17.01597470097365
93013,-16472.254167830317,4984.867974661538,11537.847835004337,9393.722189800981,11921.804743115945,0.04069292126442143,39.09533982461939,31,6,,,,,
93014,-6826.669226984817,-5140.607481853156,18824.980760037986,5802.662989014832,2252.1103461860243,0.09032834928443738,66.22154675376024,19,59,,,,,
93015,-20003.120349680088,-13731.369790548537,-4270.66148635163,-12678.401375152287,5600.048814028243,0.035884614225236124,56.685581534362335,13,22,1,98972,7098.832634603454,2552.0259326051855,20.97628785081296
93016,-22903.742117426158,-6621.960903432751,6058.6498683697755,19582.8583176205,8763.104754127493,0.03034459966639075,67.64047980884074,5,17,1,98719,18903.934999636826,7129.955921782977,42.533890921419804
93017,3347.623864397887,-1683.5773229218976,-547.5199405506391,-17173.333533830926,4193.580279475235,0.23102586370715872,57.12339685044632,22,49,,,,,
93018,-8252.26065530711,-13134.964549287275,-6596.217444753922,-16400.459841771546,4190.2390168955135,0.06479886070403922,49.190335913462654,17,35,1,97284,66.32700173247076,770.9996592229093,11
93019,11287.93847709048,14811.48535730959,6114.619074679169,7014.554265386974,7945.569754828416,0.10376220876303012,83.21144304713089,15,50,,,,,
93020,-19172.93371167344,5484.005262143015,-8744.623559491933,-886.6215626271878,8978.463395619647,0.10999974396289362,69.42456155864376,18,49,,,,,
93021,-17.882860707686632,-20212.437343948986,8688.957139083977,-16375.733780177621,1472.8585938485753,0.08982799025540764,65.87022658640086,19,45,,,,,
93022,10661.409988667307,-2166.3210067597756,11462.615907650106,-17994.414886521077,3058.4084808424877,0.06458906107443484,45.95626252250858,27,61,,,,,
93023,-10255.376473916444,21548.76163522739,-18086.0962863094,-17152.678630657796,11682.533637914003,0.05581652270427103,70.36307299656592,3,8,1,97653,11661.507391289771,1578.9538275306877,26.36069182823069
